LHD,Hospital name,Age ,Gender,"Overall, how would you rate the care you received while in hospital?",What was the best part of the care you received while in this hospital?,What most needs improving about the care you received from the hospital?
KHZJDF, Banana Hospital,50+,Woman or female,Good,,BATHROOMS/SHOWER NEED TO BE EQUIPPED WITH EXHAUST FANS
QWRET, Apple Hospital,50+,Man or male,Very good,SORRY MEMORY TO GOOD,
QWRET, Orange Hospital,50+,Woman or female,Very good,"THE SERVICES WAS VERY GOOD, ALSO THEY TAKE CARE OF HIM/HER VERY WELL. ALL THE TEAM IN HOSPITAL WAS VERY UNDERSANABLE.","THEY DON'T NEED TO IMPROVE, BECAUSE EVERYTHING WAS GOOD AND CLEAN ESPICALLY WE ARE IN COVID 10 CORONA VIRUS"
QWRET, Mango Hospital,50+,Man or male,Very good,THE STAFF WERE VERY APPROACHABLE AND HELPFUL DURING DIFFICULT PAINFUL TIMES,EXTRA STAFF
ARTBQW,,50+,"Prefer to use a different
term",Very good,I WAS IN HOSPITAL FOR XXXX XXXX AND ALL THE DR AND THE DR TEAM WAS VERY GOOD FOR ME. THE GOOD WAS VERY GOOD.,
ASRTGE, Pineapple Hospital,50+,Woman or female,Very good,STAFF BEING KIND AND HELPFUL. I WAS WELL LOOKED AFTER,NOTHING EVERYTHING WAS GREAT
OPIUSD, Watermelon Hospital,50+,Woman or female,Very good,ALL SERVICE WAS PERFECT. XXXX XXXX,NOTHING MRS XXXX XXXX
QWRET,,18-49,Non-binary,Good,"DR XXXX REMOVING MY GALLBLADDER AND TREATING ME WITH DIGNITY INSTEAD OF THE NEGLIGENCE OF DR XXXX, WHOSE MISMANAGEMENT OF MY CONDITION LED TO ME BEING READMITTED AND EXTREMELY UNWELL. THE MAJORITY OF THE NURSES WERE EXTREMELY HELPFUL. THE HOSPITAL WAS ALSO QUIET AND VERY CLEAN, THE CLEANING STAFF AND MOST OF THE NURSES WERE FAULTLESS, VERY KIND AND EFFICIENT.","I FELT I WAS DISCHARGED FAR TOO EARLY, THERE SEEMED TO BE A RUSH TO GET ME TO LEAVE , EVEN WHEN I WAS WEAK AND IN PAIN. I WAS MORE OR LESS FORCED TO LEAVE WITHOUT TAKING INTO CONSIDERATION HOW I FELT. I WAS DISCHARGED AFTER MY SURGERY BY A VERY STRANGE AND BRASH NURSE WHO TOLD ME TO 'JUST WORK THROUGH IT' AND GAVE ME QUESTIONABLE ADVICE THAT WAS NEITHER MEDICALLY APPROPRIATE NOR HELPFUL. DR XXXX IS ALSO A PROBLEM; HIS/HER TREATMENT OF MY GALLBLADDER WAS INAPPROPRIATE, AND HE/SHE IS ARROGANT WITH NO BEDSIDE MANNER. THE CURRENT MEDICAL RESEARCH SHOWS HAT ANTIBIOTIC TREATMENT OF AN INFLAMED GALLBLADDER AND FASTING IS NOT EFFECTIVE ON ITS OWN. I WAS IN PAIN AND WAS NOT LISTENED TO. I WAS READMITTED WITHIN A COUPLE OF DAYS AFTER DISCHARGE, AND PUT INTO EMERGENCY SURGERY. THANK GOODNESS FOR DR XXXX WHO WAS GENTLE, UNDERSTANDING AND QUICK TO HELP ME HAVE MY SURGERY AND RECOVER."
LAUJSH, Grapes Hospital,18-49,Man or male,Very good,A GREAT NIGHT OF SLEEPING AND RESTING!,THE SERVICE IS PRIME!!
ASRTGE, Pineapple Hospital,50+,Woman or female,Very good,I WAS INTRODUCED TO ALL THE DOCTORS INVOLVED IN THE PROCEDURE AND WAS SHOWN GREAT CARE IN THE OPERATING THEATRE STRAIGHT BEFORE AND AFTER THE PROCEDURE.,THE HOSPITAL FOOD IS NOT VERY EXCITING TO PUT IT MILDLY. ESPECIALLY THE BREAKFAST IS BLAND AND UNINVITING.
MZNBSD, Papaya Hospital,50+,Woman or female,Very good,HAVE NO COMPLAINTS IT WAS VERY GOOD,"COULD NOT FIND ANY BAD, ALL WAS VERY EFFICIENT"
OIUWEY, Pear Hospital,50+,Woman or female,Good,,XXXX PASSED AWAY XXXX XXXX XXXX FROM XXXX. HE/SHE HAD BEEN TO XXXX HOSP SEVERAL TIMES WITH THIS ILLNESS BUT WAS DISCHARGED ON ALL OCCASIONS. HE/SHE PASSED AWAY XXXX XXXX XXXX. I WOULD LIKE TO SEE MORE FOLLOW UP AFTER DISCHARGE. XXXX XXXX XXXX XXXX XXXX XXXX
BNAVSE, Lemon Hospital,50+,Woman or female,Very good,YES IT WAS GOOD I AM HAPPY FROM XXXX HOSPITAL I REALLY HAPPY FROM THEIR SERVICE. BEST HOSPITAL,EMERGENCY IS VERY LONG TO WAIT NEED TO HIRE MORE DOCTOR TO SEE THE PATIENTS WHEN THEY SICK
OPIUSD, Guava Hospital,50+,Woman or female,Good,PLEASANT STAFF,I'D RECOMMEND THE HOSPITAL BUT THE FOOD WAS INEDIBLE-I LOST WEIGHT WHILE I WAS THERE. KITCHEN STAFF QUITE UNFRIENDLY! TRYING TO GET BOTTLED WATER WAS DIFFICULT & I WAS A PRIVATE PATIENT-DON'T KNOW WHY I BOTHERED!
KHZJDF, Kiwi Hospital,50+,Woman or female,Good,"I CAN HONESTLY SAY THE BEST PART OF CARE I RECEIVED DURING MY XXXX XXXX STAY, WAS THE GENUINE KINDNESS & FRIENDLY STAFF. A DEDICATED TEAM, DOING THEIR BEST UNDER TRYING WORK LOADS. ALWAYS FLAT OUT WITH THEIR DUTIES BUT THEY MANAGED TO ALWAYS HAVE PRECIOUS TIME TO ASK HOW I WAS. I HAVE ANSWERED SOME QUESTIONS VAGUELY AS I WAS SO SICK & CONFUSED AT TIMES I WAS UNABLE TO FULLY COMPREHEND THE INFORMATION GIVEN TO ME","MORE STAFF TO PATIENT RATIO. THE SURGICAL UNIT IS FULL ON. I NOTICED WHEN ONE PATIENT LEAVES, ANOTHER ONE IS JUST ARRIVING. NOT EVEN TIME TO CATCH YOUR BREATH, THAT I GUESS IS A STANDARD DAY. WITHOUT A FALL OCCURING OR CODE? WHEN A SOUL NEEDS EXTRA CARE ALSO TO KEEP THEM SAFE & OTHERS. I OBSERVED THIS WHEN I BECAME STRONGER & HAD MORE UNDERSTANDING OF MY SURROUNDINGS & TASKS AT HAND"
BNAVSE, Melon Hospital,50+,Woman or female,Very good,THEY ALWAYS CHECK ABOUT MY HEALTH,NO COMMENT
RTUITO, Peach Hospital,50+,Man or male,Very good,NO COMMENT,NO COMMENT
BNAVSE, Lemon Hospital,50+,Woman or female,Very good,"THE STAFF WAS EXCELLENT, THE FOOD WAS EXCELLENT. MY ASTHMA GOT BETTER BECAUSE I RESTED AND GOT BETTER QUICKLY. NO BAD COMMENTS!",NONE
KHZJDF, Strawberry Hospital,50+,Man or male,Very good,GENERALLY GOOD CARE,GENERALLY GOOD CARE
OPIUSD, Blueberries Hospital,50+,Man or male,Neither good nor poor,SURGICAL PROCEDURE  TRANSPORTATION TO POST OPERATION CARE AND WARD.  MONITORING DEVICES AND SUPPORTIVE TREATMENT  GIVING MEDICINES IN TIME HELPING WITH AUXILIARY NEEDS ETC.,"FOOD SERVICE: WHILE I WAS AT ISOLATION AFTER THE CHEMO TREATMENT NO FOOD WAS GIVEN AT A REGULAR BASIS. I HAD TO CALL THE NURSE SEVERAL TIMES FOR FOOD AT BREAKFAST, LUNCH AND DINNER. SOMETIMES THEY GIVE WHATEVER IS AVAILABLE. I DO NOT EAT BEEF BUT IN COUPLE OF OCCASIONS THEY SUPPLIED BEEF. WHEN I RETURNED THEY NEVER GAVE ME OTHER FOOD. I CONSIDER MYSELF LUCKY THAT I BROUGHT SOME BISCUITS AND FRUITS AND SURVIVED IN CRISIS.   AFTER MY COMPLETE THYROIDECTOMY WHEN THE INFUSION WAS STOPPED OR FINISHED THE MONITOR USED TO BEEP BUT NOBODY CAME VOLUNTARILY TO ADDRESS THE ISSUE. WHEN I CALLED THE NURSES AT NIGHT THEY WERE NOT COMING TO ME IN TIME. THIS HAS HAPPENED THROUGHOUT THE ENTIRE PERIOD I STAYED IN HOSPITAL. DAY TIME NURSES WERE VERY GOOD THOUGH.   CHANGING OF BED, URINE BOTTLE AND WASTE BINS WERE NOT ON A REGULAR BASIS.   SO NURSING AND HOSPITALITY SERVICES NEED TO BE IMPROVED."
ARTBQW, Raspberries Hospital,50+,Woman or female,Good,VERY GOOD HEALTH WHILE IN HOSPITAL CARE XXXX XXXX,
MZNBSD, Blackberries Hospital,50+,Woman or female,Very good,KINDNESS-CARE BY NURSING STAFF & CARERS COMPLETED FOR & ON BEHALF OF XXXX BY XXXX XXXX XXXX. XXXX,
OPIUSD, Watermelon Hospital,50+,Man or male,Good,GETTING STENT,IN MY CASE VERY HAPPY
OPIUSD, Cranberries Hospital,50+,Man or male,Good,I WAS ALWAYS INFORMED AND KEPT UP TO DATE WITH WHAT WAS HAPPENING. STAFF WERE VERY PROFESSIONAL AND CARING. THE FIRST LASER SURGERY I HAD WAS DONE VERY QUICKLY ALTHOUGH I HAD TO RETURN THE NEXT DAY AS THERE WAS A LENS MISSING,WAITING TIME TO SEE A DOCTOR WAS RIDICULOUS. THE NURSE PUT EYE DROPS IN MY EYE AND BY THE TIME I GOT TO SEE THE DOCTOR THEY HAD WORE OFF. THE DOCTOR THEN PUT MORE DROPS IN AND I HAD TO GO BACK TO THE WAITING ROOM AGAIN AND WAIT FOR THE DROPS TO TAKE AFFECT AGAIN. ON THE FIRST VISIT THERE WAS A LENS MISSING FOR THE LASER SURGERY. I HAD TO RETURN THE NEXT DAY SO THEY COULD USE THE APPROPRIATE LENS
KHZJDF, Pomegranate Hospital,50+,Man or male,Very good,SWIFT AND THOROUGH,EVERY THING WAS FINE.
BNAVSE, Plum Hospital,50+,Woman or female,Good,I WAS TREATED WELL AND GIVEN RESPECT BY THE DOCTORS AND NURSES,I COULDN'T UNDERSTAND WHAT THEY WERE SAYING. I WOULD'VE VERY MUCH LIKE IT IF THERE WAS AN INTERPRETER.
QWRET, Apricot Hospital,50+,Man or male,Very good,ALL OF THE CARE WAS VERY GOOD,NONE
MZNBSD, Grapefruit Hospital,50+,Man or male,Good,MY ANETHESTIST WAS GREAT AND EXPLAINED EVERYTHING. THE DOCTOR TREATED ME LIKE A HUMAN. THE NURSES WERE BUSY BUT ALWAYS THERE WHEN NEEDED. AND WERE GENTLE & CARING.,THEY SEEM A BIT SHORT HANDED BUT WE ARE IN A COVID PANDEMIC.
QERYUI, Tangerine Hospital,50+,Man or male,Good,"THE FOOD WAS PLENTIFUL TASTY AND A GOOD SELECTION FOR EVEN THE FUSSIEST EATERS, NO COMPLAINTS FROM ME","COMMUNICATION - BETWEEN THE PEOPLE WHO WHEEL YOU OFF TO SURGERY AND THE DOCTORS IN SURGERY SO THAT SITUATIONS LIKE I HAD DON'T HAPPEN. I WAS WOKEN FROM A DEEP SLEEP AT XXXX WHEELED DOWN TO SURGERY, WAITING OUTSIDE SURGERY THEN WHEELED BACK TO WARD AND HAD TO WAIT TILL XXXX XXXX FOR SURGERY. THATS WHAT I CALL MISCOMMUNICATION."
BNAVSE, Melon Hospital,50+,Woman or female,Very good,FRIENDLY HELPFUL STAFF. BOTH IN XXXX BOTH MALE & FEMALE STAFF MADE ME FEEL COMFORTABLE EVEN THOUGH SOME WERE DOING EXTRA SHIFTS BECAUSE OF LACK OF STAFF. OVERALL-HAPPY & SOMETIMES FUNNY & JOKING ABOUT PROCEDURES & VILE MEDICINES.,"MORE STAFF NEEDED. THE NURSING STAFF ARE RUN OFF THEIR FEET. NO WAITING ON XXXX VISIT BECAUSE OF EMERGENCY & ACCOMPANYING LETTER FROM DOCTOR. XXXX VISIT - NEAR IMPOSSIBLE TO FIND WHERE I HAD TO GO, EVEN SECURITY & HELPERS DIDN'T KNOW. WHERE I WAS SEENT DIDN'T EXIST."
VASRTY, Cantaloupe Hospital,50+,Man or male,Good,FRIENDLY STAFF,BUILDING WAS OLD AND WAS *** FOR DEMENTIA
